Failed_Transaction_Rate,Account_Balance,Risk_Score,Transaction_hour,Card_Age
0.07142857142857142,17987.67,0.7428,14.0,66.0
0.14285714285714285,49229.92,0.2061,8.0,116.0
0.2857142857142857,86573.82,0.1511,4.0,237.0
0.11428571428571428,50809.67,0.122,15.0,159.0
0.2857142857142857,98789.49,0.9852,13.0,23.0
0.061224489795918366,94591.21,0.7924,16.0,184.0
0.21428571428571427,88836.9,0.4172,5.0,109.0
0.0,60755.47,0.2988,20.0,4.0
0.02857142857142857,58750.36,0.2592,2.0,169.0
0.031746031746031744,58616.18,0.2191,21.0,226.0
0.061224489795918366,94784.88,0.8883,19.0,83.0
0.05357142857142857,1176.1,0.6925,20.0,37.0
0.2857142857142857,29744.11,0.3742,3.0,219.0
0.05357142857142857,91731.74,0.6827,15.0,50.0
0.021978021978021976,3309.35,0.4432,12.0,35.0
0.09523809523809523,62851.67,0.7724,21.0,82.0
0.0,94917.88,0.6919,3.0,212.0
0.0,48307.85,0.5982,7.0,155.0
0.0,3899.86,0.3265,17.0,142.0
0.05357142857142857,62049.24,0.7501,7.0,121.0
0.04285714285714286,47481.32,0.5813,9.0,214.0
0.0,28285.76,0.9544,6.0,231.0
0.0,99835.08,0.0742,10.0,109.0
0.011904761904761904,90211.01,0.7171,1.0,18.0
0.04285714285714286,83704.1,0.3917,2.0,111.0
0.03571428571428571,54576.68,0.6131,3.0,137.0
0.047619047619047616,38790.42,0.8341,11.0,6.0
0.047619047619047616,90627.26,0.5515,9.0,17.0
0.012987012987012986,25943.45,0.0139,3.0,44.0
0.04081632653061224,82909.93,0.256,0.0,8.0
0.012987012987012986,15839.41,0.6384,19.0,49.0
0.0,94133.74,0.9974,17.0,12.0
0.012987012987012986,48942.52,0.4229,4.0,126.0
0.0,53665.4,0.7767,18.0,106.0
0.05714285714285714,75911.95,0.0661,20.0,35.0
0.08571428571428572,47023.74,0.5725,20.0,75.0
0.0,90129.33,0.4524,12.0,182.0
0.08571428571428572,78987.67,0.4131,3.0,162.0
0.0,57165.04,0.181,11.0,120.0
0.0,62521.58,0.9396,17.0,97.0
0.047619047619047616,64649.03,0.9285,15.0,121.0
0.07142857142857142,95653.8,0.0931,6.0,229.0
0.42857142857142855,72460.76,0.7554,18.0,166.0
0.05714285714285714,81206.59,0.2957,10.0,153.0
0.0,36408.1,0.2241,0.0,84.0
0.047619047619047616,94475.96,0.7839,7.0,171.0
0.0,51902.25,0.6847,11.0,230.0
0.14285714285714285,78733.83,0.1647,16.0,234.0
0.0,24353.52,0.1895,13.0,209.0
0.04081632653061224,66605.49,0.548,10.0,173.0
0.017857142857142856,63319.3,0.6653,4.0,152.0
0.21428571428571427,65673.29,0.1859,19.0,88.0
0.03296703296703297,4525.49,0.6094,3.0,164.0
0.14285714285714285,32461.88,0.2086,13.0,8.0
0.014285714285714285,14199.28,0.2489,13.0,71.0
0.05714285714285714,94485.96,0.5313,7.0,221.0
0.03571428571428571,11827.44,0.9047,1.0,52.0
0.03896103896103896,12323.4,0.4145,16.0,147.0
0.0,32344.02,0.9064,16.0,182.0
0.03896103896103896,9850.66,0.6152,13.0,168.0
0.5714285714285714,27170.06,0.7508,5.0,68.0
0.09523809523809523,31208.43,0.3174,5.0,163.0
0.02040816326530612,72209.87,0.1133,3.0,184.0
0.012987012987012986,99121.46,0.8764,3.0,127.0
0.03896103896103896,11798.76,0.8326,10.0,85.0
0.0,33549.23,0.4699,15.0,161.0
0.04285714285714286,36080.51,0.931,23.0,102.0
0.025974025974025972,34316.78,0.9446,20.0,172.0
0.10714285714285714,36479.02,0.9279,4.0,224.0
0.04395604395604395,41642.86,0.8556,20.0,170.0
0.04285714285714286,4825.1,0.617,10.0,225.0
0.015873015873015872,6229.86,0.921,6.0,145.0
0.02040816326530612,33661.23,0.543,6.0,100.0
0.025974025974025972,77315.85,0.9014,14.0,229.0
0.017857142857142856,16447.77,0.1239,0.0,236.0
0.061224489795918366,52238.74,0.8577,12.0,2.0
0.04285714285714286,51257.63,0.4215,1.0,95.0
0.5714285714285714,64905.41,0.9793,15.0,3.0
0.0,64635.95,0.4477,12.0,44.0
0.047619047619047616,83531.12,0.7891,0.0,186.0
0.11428571428571428,7858.38,0.3692,8.0,37.0
0.023809523809523808,80350.83,0.8913,2.0,64.0
0.09523809523809523,16060.17,0.0658,5.0,44.0
0.03571428571428571,96504.74,0.0299,8.0,223.0
0.02040816326530612,38597.85,0.0797,7.0,142.0
0.0,36264.49,0.0729,22.0,17.0
0.023809523809523808,46320.67,0.1115,9.0,229.0
0.07142857142857142,54285.76,0.1954,2.0,81.0
0.047619047619047616,43385.9,0.9397,10.0,57.0
0.02857142857142857,20731.4,0.2564,22.0,122.0
0.08571428571428572,66341.71,0.4083,4.0,49.0
0.011904761904761904,3622.95,0.6332,23.0,105.0
0.021978021978021976,77357.15,0.3791,21.0,150.0
0.04395604395604395,83648.5,0.2544,10.0,171.0
0.03571428571428571,47711.2,0.2923,5.0,122.0
0.025974025974025972,27195.12,0.9106,3.0,117.0
0.09523809523809523,93402.7,0.625,16.0,197.0
0.047619047619047616,84588.79,0.6206,22.0,54.0
0.14285714285714285,95266.84,0.4659,3.0,102.0
0.09523809523809523,39872.06,0.2174,15.0,33.0
0.015873015873015872,9829.87,0.4299,4.0,54.0
0.047619047619047616,99491.53,0.9345,11.0,54.0
0.09523809523809523,36960.7,0.9734,23.0,239.0
0.06349206349206349,74396.82,0.1703,3.0,112.0
0.07142857142857142,93166.57,0.4925,8.0,9.0
0.03571428571428571,69439.18,0.5538,7.0,150.0
0.031746031746031744,58107.54,0.0043,2.0,148.0
0.0,24462.41,0.7377,21.0,190.0
0.0,5239.27,0.0573,3.0,73.0
0.030612244897959183,45647.19,0.9653,0.0,13.0
0.14285714285714285,87205.02,0.3154,8.0,119.0
0.02040816326530612,37486.5,0.6572,15.0,214.0
0.08163265306122448,27356.7,0.4663,14.0,3.0
0.0,38925.47,0.0883,11.0,24.0
0.21428571428571427,10285.44,0.4099,4.0,177.0
0.07142857142857142,11938.04,0.6766,19.0,105.0
0.09523809523809523,95491.65,0.863,20.0,200.0
0.09523809523809523,9065.63,0.2862,17.0,179.0
0.015873015873015872,4262.94,0.3612,23.0,230.0
0.03571428571428571,44995.25,0.074,22.0,142.0
0.0,45350.91,0.35,20.0,231.0
0.021978021978021976,21735.03,0.9152,21.0,193.0
0.03571428571428571,20845.94,0.2647,21.0,21.0
0.03571428571428571,13071.65,0.3639,19.0,222.0
0.05714285714285714,8960.51,0.1825,4.0,30.0
0.012987012987012986,32533.3,0.1136,19.0,21.0
0.2857142857142857,52246.8,0.0162,9.0,154.0
0.42857142857142855,48007.69,0.4194,4.0,2.0
0.09523809523809523,49825.65,0.1021,3.0,116.0
0.015873015873015872,20812.19,0.445,14.0,9.0
0.017857142857142856,3824.13,0.0019,16.0,99.0
0.012987012987012986,78898.13,0.6189,23.0,53.0
0.02857142857142857,84561.41,0.5718,11.0,40.0
0.10714285714285714,66863.95,0.8981,4.0,231.0
0.07142857142857142,57577.16,0.3188,6.0,31.0
0.0,55743.76,0.904,8.0,11.0
0.05714285714285714,29260.74,0.0524,8.0,227.0
0.07142857142857142,85095.83,0.8388,5.0,201.0
0.0,17595.6,0.7151,22.0,206.0
0.21428571428571427,21834.53,0.4607,3.0,177.0
0.21428571428571427,58828.57,0.1999,0.0,106.0
0.014285714285714285,22548.72,0.2623,11.0,223.0
0.11428571428571428,67332.0,0.9949,19.0,160.0
0.025974025974025972,51441.01,0.9637,22.0,138.0
0.047619047619047616,97737.36,0.826,3.0,226.0
0.047619047619047616,32896.72,0.1678,11.0,152.0
0.047619047619047616,49374.43,0.8062,13.0,213.0
0.2857142857142857,38931.09,0.2723,17.0,39.0
0.0,94846.12,0.8153,14.0,20.0
0.0,86418.42,0.9313,3.0,70.0
0.08571428571428572,28235.25,0.2648,17.0,42.0
0.03571428571428571,30094.8,0.4146,1.0,80.0
0.012987012987012986,30751.76,0.7322,20.0,148.0
0.0,46150.79,0.606,19.0,148.0
0.2857142857142857,48657.98,0.5643,11.0,134.0
0.04285714285714286,50000.11,0.0675,11.0,154.0
0.08571428571428572,80427.59,0.3939,11.0,34.0
0.015873015873015872,69039.75,0.4228,2.0,23.0
0.08571428571428572,15163.6,0.2765,11.0,133.0
0.5714285714285714,7715.86,0.18,13.0,62.0
0.03896103896103896,10587.52,0.4456,4.0,154.0
0.023809523809523808,43558.89,0.6259,3.0,212.0
0.02857142857142857,55032.43,0.9825,2.0,73.0
0.07142857142857142,61336.41,0.4737,15.0,210.0
0.09523809523809523,91849.0,0.7744,21.0,27.0
0.047619047619047616,16518.68,0.1314,20.0,13.0
0.21428571428571427,941.22,0.6847,11.0,108.0
0.017857142857142856,54854.3,0.7304,17.0,115.0
0.2857142857142857,73755.73,0.0816,3.0,215.0
0.03571428571428571,69190.87,0.6961,8.0,217.0
0.010989010989010988,34882.58,0.0665,11.0,156.0
0.0,86973.62,0.7096,16.0,210.0
0.14285714285714285,56980.84,0.0827,1.0,58.0
0.0,14493.91,0.616,8.0,209.0
0.021978021978021976,29955.1,0.3878,17.0,212.0
0.02040816326530612,73629.21,0.4967,21.0,120.0
0.07142857142857142,84422.88,0.7665,15.0,102.0
0.07142857142857142,39603.82,0.173,20.0,59.0
0.01020408163265306,655.23,0.0897,11.0,175.0
0.21428571428571427,64024.13,0.6841,10.0,148.0
0.030612244897959183,95632.72,0.0804,1.0,92.0
0.5714285714285714,99201.71,0.2622,13.0,114.0
0.02040816326530612,13784.04,0.1857,15.0,205.0
0.0,93188.63,0.954,12.0,226.0
0.0,50022.96,0.1439,12.0,86.0
0.011904761904761904,47087.33,0.2795,12.0,79.0
0.03571428571428571,26760.64,0.7065,3.0,110.0
0.025974025974025972,45881.86,0.5014,22.0,161.0
0.09523809523809523,79140.55,0.4468,9.0,204.0
0.031746031746031744,44238.36,0.4042,22.0,33.0
0.047619047619047616,8912.27,0.3317,18.0,212.0
0.0,49703.97,0.9257,13.0,7.0
0.0,46329.96,0.5924,14.0,182.0
0.01020408163265306,97277.91,0.3039,0.0,20.0
0.012987012987012986,23579.99,0.6247,18.0,53.0
0.0,85925.47,0.3457,11.0,97.0
0.0,55149.88,0.9347,21.0,238.0
